作家名,年月日,生没
田畑 修一郎,7月23日,没
本庄 陸男,7月23日,没
葛西 善蔵,7月23日,没
谷崎 潤一郎,7月24日,生
芥川 竜之介,7月24日,没
愛知 敬一,7月25日,生
津田 真道,7月25日,生
浜田 青陵,7月25日,没
石河 幹明,7月25日,没
関口 存男,7月25日,没
小山内 薫,7月26日,生
宇野 浩二,7月26日,生
伊藤 永之介,7月26日,没
前田 夕暮,7月27日,生
犬養 健,7月28日,生
宮武 外骨,7月28日,没
外村 繁,7月28日,没
江戸川 乱歩,7月28日,没
穂積 重遠,7月29日,没
立原 道造,7月30日,生
三島 霜川,7月30日,生
新美 南吉,7月30日,生
幸田 露伴,7月30日,没
伊藤 左千夫,7月30日,没
村井 弦斎,7月30日,没
谷崎 潤一郎,7月30日,没
正木 不如丘,7月30日,没
柳田 国男,7月31日,生
木下 杢太郎,8月1日,生
宮島 資夫,8月1日,生
槙本 楠郎,8月1日,生
会津 八一,8月1日,生
室生 犀星,8月1日,生
原田 義人,8月1日,没
邦枝 完二,8月2日,没
加藤 弘之,8月5日,生
大下 藤次郎,8月5日,生
原田 義人,8月5日,生
加能 作次郎,8月5日,没
小寺 菊子,8月7日,生
柳田 国男,8月8日,没
黒田 清輝,8月9日,生
浅野 和三郎,8月9日,生
戸坂 潤,8月9日,没
中沢 臨川,8月9日,没
宮崎 湖処子,8月9日,没
清沢 満之,8月10日,生
穂積 陳重,8月11日,生
本多 静六,8月11日,生
吉川 英治,8月11日,生
三遊亭 円朝,8月11日,没
大下 宇陀児,8月11日,没
土田 耕平,8月12日,没
柴崎 芳太郎,8月13日,生
古川 緑波,8月13日,生
伊波 普猷,8月13日,没
石井 研堂,8月14日,生
番匠谷 英一,8月14日,生
鷹野 つぎ,8月15日,生
石原 莞爾,8月15日,没
井上 貞治郎,8月16日,生
富田 倫生,8月16日,没
川端 茅舎,8月17日,生
岩本 素白,8月17日,生
島木 健作,8月17日,没
山川 丙三郎,8月17日,没
岩村 透,8月17日,没
蜷川 新,8月17日,没
高見 順,8月17日,没
細井 和喜蔵,8月18日,没
三沢 勝衛,8月18日,没
長岡 半太郎,8月19日,生
北 一輝,8月19日,没
平野 長蔵,8月20日,没
木村 荘八,8月21日,生
深瀬 基寛,8月21日,没
島崎 藤村,8月22日,没
長谷川 時雨,8月22日,没
犬田 卯,8月23日,生
三好 達治,8月23日,生
楠田 匡介,8月23日,生
柴田 宵曲,8月23日,没
若山 牧水,8月24日,生
河井 寛次郎,8月24日,生
溝口 健二,8月24日,没
安西 冬衛,8月24日,没
岡本 かの子,8月25日,生
山田 美妙,8月25日,生
大鹿 卓,8月25日,生
河本 大作,8月25日,没
渡辺 温,8月26日,生
平野 零児,8月26日,没
宮沢 賢治,8月27日,生
内藤 湖南,8月27日,生
岩波 茂雄,8月27日,生
中山 太郎,8月27日,生
阿部 次郎,8月27日,生
上村 松園,8月27日,没
犬養 健,8月28日,没
十返 肇,8月28日,没
国木田 独歩,8月30日,生
竹久 夢二,9月1日,生
新渡戸 稲造,9月1日,生
辻村 伊助,9月1日,没
富田 木歩,9月1日,没
田畑 修一郎,9月2日,生
蘭 郁二郎,9月2日,生
宮原 晃一郎,9月2日,生
柴田 宵曲,9月2日,生
岡倉 天心,9月2日,没
上司 小剣,9月2日,没
陸 羯南,9月2日,没
岡倉 覚三,9月2日,没
佐藤 緑葉,9月2日,没
高野 六郎,9月3日,生
折口 信夫,9月3日,没
釈 迢空,9月3日,没
津田 真道,9月3日,没
槙村 浩,9月3日,没
下村 千秋,9月4日,生
蔵原 伸二郎,9月4日,生
田中 正造,9月4日,没
吉江 喬松,9月5日,生
吉江 孤雁,9月5日,生
平野 長蔵,9月5日,生
巌谷 小波,9月5日,没
島木 健作,9月7日,生
泉 鏡花,9月7日,没
泉 鏡太郎,9月7日,没
吉川 英治,9月7日,没
羽仁 もと子,9月8日,生
小熊 秀雄,9月9日,生
逸見 猶吉,9月9日,生
桐生 悠々,9月10日,没
田沢 稲舟,9月10日,没
オー・ヘンリー,9月11日,生
山之口 貘,9月11日,生
末弘 厳太郎,9月11日,没
相馬 黒光,9月12日,生
木村 小舟,9月12日,生
幣原 喜重郎,9月13日,生
高垣 松雄,9月13日,没
野上 豊一郎,9月14日,生
綱島 梁川,9月14日,没
槙本 楠郎,9月14日,没
鶴 彬,9月14日,没
村山 槐多,9月15日,生
円城 塔,9月15日,生
大杉 栄,9月16日,没
竹久 夢二,9月16日,没
伊藤 野枝,9月16日,没
江見 水蔭,9月17日,生
狩野 亨吉,9月17日,生
山中 貞雄,9月17日,没
若山 牧水,9月17日,没
伊藤 左千夫,9月18日,生
知里 幸恵,9月18日,没
徳冨 蘆花,9月18日,没
朝永 三十郎,9月18日,没
野中 至,9月19日,生
正岡 子規,9月19日,没
児玉 花外,9月20日,没
鈴木 梅太郎,9月20日,没
小笠原 長生,9月20日,没
内山 完造,9月20日,没
高橋 悠治,9月21日,生
宮沢 賢治,9月21日,没
伊丹 万作,9月21日,没
宇野 浩二,9月21日,没
北条 民雄,9月22日,生
藤野 古白,9月22日,生
佐々木 邦,9月22日,没
岡田 三郎助,9月23日,生
楠田 匡介,9月23日,没
服部 之総,9月24日,生
条野 採菊,9月24日,生
西郷 隆盛,9月24日,没
饗庭 篁村,9月25日,生
魯迅,9月25日,生
石原 忍,9月25日,生
三木 清,9月26日,没
小泉 八雲,9月26日,没
戸坂 潤,9月27日,生
鈴木 三重吉,9月29日,生
佐々木 喜善,9月29日,没
長谷川 時雨,10月1日,生
三木 竹二,10月2日,生
登張 竹風,10月2日,生
岩本 素白,10月2日,没
下村 湖人,10月3日,生
津田 左右吉,10月3日,生
飯田 蛇笏,10月3日,没
辻 潤,10月4日,生
国枝 史郎,10月4日,生
伊良子 清白,10月4日,生
佐々木 喜善,10月5日,生
榎本 武揚,10月5日,生
黒岩 涙香,10月6日,没
森本 薫,10月6日,没
郡 虎彦,10月6日,没
久生 十蘭,10月6日,没
和田 万吉,10月7日,生
吉井 幸蔵,10月7日,没
小酒井 不木,10月8日,生
池田 菊苗,10月8日,生
吉井 勇,10月8日,生
島袋 源一郎,10月8日,生
薄田 泣菫,10月9日,没
橘 外男,10月10日,生
高村 光雲,10月10日,没
大下 藤次郎,10月10日,没
種田 山頭火,10月11日,没
岡本 一平,10月11日,没
福士 幸次郎,10月11日,没
片山 敏彦,10月11日,没
南部 修太郎,10月12日,生
木下 尚江,10月12日,生
深瀬 基寛,10月12日,生
浅沼 稲次郎,10月12日,没
小出 楢重,10月13日,生
正岡 子規,10月14日,生
十一谷 義三郎,10月14日,生
池谷 信三郎,10月15日,生
三宅 幾三郎,10月15日,生
野村 胡堂,10月15日,生
野村 あらえびす,10月15日,生
木下 杢太郎,10月15日,没
広津 柳浪,10月15日,没
藤島 武二,10月15日,没
新渡戸 稲造,10月15日,没
加藤 道夫,10月17日,生
長谷 健,10月17日,生
黒島 伝治,10月17日,没
小村 雪岱,10月17日,没
葉山 嘉樹,10月18日,没
土井 晩翠,10月19日,没
魯迅,10月19日,没
佐藤 一斎,10月19日,没
石橋 忍月,10月20日,生
河上 肇,10月20日,生
竹内 勝太郎,10月20日,生
宮崎 湖処子,10月20日,生
坂口 安吾,10月20日,生
田部 隆次,10月20日,生
阿部 次郎,10月20日,没
浅野 正恭,10月20日,没
江戸川 乱歩,10月21日,生
小倉 金之助,10月21日,没
佐藤 武夫,10月22日,生
中原 中也,10月22日,没
矢田部 達郎,10月24日,生
山田 美妙,10月24日,没
富永 太郎,10月25日,没
原口 統三,10月25日,没
織田 作之助,10月26日,生
八木 重吉,10月26日,没
榎本 武揚,10月26日,没
中島 孤島,10月27日,生
中沢 臨川,10月28日,生
正宗 白鳥,10月28日,没
浜尾 四郎,10月29日,没
上田 敏,10月30日,生
尾崎 紅葉,10月30日,没
堀口 九万一,10月30日,没
岡倉 由三郎,10月31日,没
萩原 朔太郎,11月1日,生
北原 白秋,11月2日,没
岸田 国士,11月2日,没
徳富 蘇峰,11月2日,没
大手 拓次,11月3日,生
田中 英光,11月3日,没
江見 水蔭,11月3日,没
泉 鏡花,11月4日,生
楠山 正雄,11月4日,生
泉 鏡太郎,11月4日,生
関 寛,11月4日,生
幸徳 秋水,11月5日,生
福士 幸次郎,11月5日,生
片山 敏彦,11月5日,生
木下 尚江,11月5日,没
島村 抱月,11月5日,没
久保田 万太郎,11月7日,生
尾崎 秀実,11月7日,没
山中 貞雄,11月8日,生
平林 初之輔,11月8日,生
相馬 愛蔵,11月8日,生
慶應義塾,11月8日,生
斎藤 秀三郎,11月9日,没
白柳 秀湖,11月9日,没
三枝 博音,11月9日,没
井上 貞治郎,11月10日,没
石河 幹明,11月11日,生
